250,500,750,1000,mode,effect,param
0.042,0.036,0.038,0.037,databased,dif1,1
0.047,0.05,0.061,0.048,databased,dif1,2
0.128,0.238,0.346,0.442,databased,dif1,3
0.398,0.708,0.87,0.942,databased,dif1,4
0.511,0.85,0.946,0.98,databased,dif1,5
0.962,1,1,1,databased,dif1,6
0.042,0.056,0.066,0.094,databased,dif1,7
0.038,0.044,0.046,0.039,databased,dif1,8
0.265,0.52,0.699,0.793,databased,dif1,9
0.893,0.994,1,1,databased,dif1,10
0.935,0.996,1,1,databased,dif1,11
1,1,1,1,databased,dif1,12
