250,500,750,1000,mode,effect,param
0.038,0.035,0.038,0.032,databased,dif1,1
0.053,0.045,0.058,0.043,databased,dif1,2
0.104,0.204,0.291,0.423,databased,dif1,3
0.392,0.672,0.839,0.93,databased,dif1,4
0.238,0.541,0.698,0.817,databased,dif1,5
0.84,0.989,0.999,1,databased,dif1,6
0.083,0.134,0.175,0.199,databased,dif1,7
0.041,0.054,0.049,0.047,databased,dif1,8
0.209,0.37,0.528,0.648,databased,dif1,9
0.842,0.985,1,1,databased,dif1,10
0.741,0.967,0.996,1,databased,dif1,11
1,1,1,1,databased,dif1,12
