no,f1,f2_1,f3,sc1,sc2,sc3,sc4,sc5,sc6,sc7-1,sc7-2,sc7-3,sc7-4,sc7-5,sc7-6,sc7-7,sc7-8,sc7-9,sc7-10,sc7-11,sc8-1,sc8-2,sc8-3,sc8-4,sc8-5,sc8-6,sc8-7,sc8-8,sc8-9,sc8-10,sc9,sc10_1,sc10_2,sc10_3,sc10_4,sc10_5,sc10_6,sc10_7,sc10_8,sc10_9,sc10_10,f0
jMFycoo6lXV5,1,27,40,2,4,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,2,1,3,3,1,2,1
KbWuAf4ptYm4,2,28,23,2,4,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,2,1,2,1,1,3,1,1,1
KCRcxM13y6tD,2,23,9,2,4,2,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,2,2,2,1,1,1
KdKTcb6QiSuF,1,23,13,2,1,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1
L1IYpTnEsBDP,2,23,13,2,5,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,2,1,1,1
mGkqWWNXc4mR,1,24,23,2,4,2,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,3,3,3,3,2,2,3,2,1
NHjl0E8ZDHFD,1,24,13,2,4,2,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,3,1,2,2,3,2,2,1
OBVi4MYZn3LL,2,24,27,2,4,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,2,1,1,1
oCGNttOH26Oq,1,24,21,2,4,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,3,1,1,1
Ohx8wclj2ATh,1,24,23,2,4,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,2,2,2,2,3,2,3,2,2,1
PKZMo2ynnCPQ,2,23,21,2,9,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1
pVvrNN2cILCs,2,23,14,2,4,2,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,2,1,1,1
r1arDp5t8auX,1,24,23,2,4,2,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,2,2,3,2,1,1
rNNoFo1C8CKs,1,24,8,2,4,2,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,1,3,1,1,1
rRxVzhxdJorU,1,25,13,2,9,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,2,1,2,2,1
s2ZpQOEpyNIZ,2,25,13,2,6,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,1,2,1,3,3,3,1,1
srsbkGf56bL7,2,24,23,2,6,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,2,1,1,3,1,2,1
Sudko8pFhjdH,1,24,23,2,4,2,6,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,1,2,2,1,2,2,3,1,1,1
TmeDKoJGh9UH,1,24,29,2,3,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,2,1
TSkM5We7Oto3,2,24,28,2,1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,3,2,1,3,3,2,2,1,2,1
v81YsIjzhW7T,1,24,13,2,4,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,1,1,1
WES6q0lySfVB,2,24,28,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,1,1,3,1,2,1
wjlxZEk6QAbt,1,23,13,2,4,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,3,1,3,3,3,1,1
wMcubI3Cyz3j,2,27,4,2,3,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,2,3,1,1,1
WW45S1f5Cty5,1,25,12,2,4,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,1,2,2,2,2,1
XiKaFi2Ses0i,1,25,15,2,4,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,2,1,1,3,2,1,1
Y6HgFy2cPf0N,2,23,23,2,1,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2,2,3,3,3,3,3,3,3,3,3,1
zCZ571ok8YPU,1,25,28,2,4,2,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,2,1,1,1
