z,stage,nsim,params
-4.11959179912174,1,1,30
-5.736080809267245,2,1,30
-5.585279528426217,3,1,30
-6.956321285433343,4,1,30
-7.959326201228406,5,1,30
-3.9766673562219284,1,2,30
-4.748081540216114,2,2,30
-6.120715442469305,3,2,30
-7.01281788499459,4,2,30
-7.742156196209712,5,2,30
-3.8652361989084887,1,3,30
-3.8840732379272263,2,3,30
-4.7022016043785655,3,3,30
-6.0982219029927816,4,3,30
-6.52037010688306,5,3,30
-2.8026389437531365,1,4,30
-4.864782240125886,2,4,30
-4.375509800591517,3,4,30
-5.355431052778459,4,4,30
-7.349403909536154,5,4,30
-3.3027026199339424,1,5,30
-6.267182556411238,2,5,30
-6.596348664570914,3,5,30
-7.309116911831541,4,5,30
-8.307398068193674,5,5,30
-2.8973157902117506,1,6,30
-5.529424848770451,2,6,30
-6.955737572097134,3,6,30
-7.51822159674018,4,6,30
-8.174953770640073,5,6,30
-4.633185815471042,1,7,30
-5.444554239136384,2,7,30
-6.203521716185296,3,7,30
-8.323554694095638,4,7,30
-9.12274985125353,5,7,30
-3.684109874065751,1,8,30
-4.4592407441470145,2,8,30
-5.688954582133855,3,8,30
-6.241739293149549,4,8,30
-7.96311378326826,5,8,30
-2.1995851888558184,1,9,30
-4.394498020985947,2,9,30
-4.280275288992689,3,9,30
-4.919323709344439,4,9,30
-6.3183816608040875,5,9,30
-4.014389495225298,1,10,30
-5.255085997097769,2,10,30
-5.460247035229709,3,10,30
-6.349145383304961,4,10,30
-6.268517636848754,5,10,30
-3.0383175564366853,1,11,30
-4.57118911786165,2,11,30
-6.516169412644698,3,11,30
-7.180591327388306,4,11,30
-9.142944024219696,5,11,30
-4.249221446329422,1,12,30
-5.326397627558367,2,12,30
-7.005523762963004,3,12,30
-8.261692788129242,4,12,30
-8.565715508994424,5,12,30
-3.6093024581355078,1,13,30
-4.187784723538896,2,13,30
-6.043753125530661,3,13,30
-7.855352288589789,4,13,30
-7.89896341031784,5,13,30
-4.674519506921353,1,14,30
-5.727660587966033,2,14,30
-6.722612871395224,3,14,30
-6.323866377352926,4,14,30
-7.954952030925515,5,14,30
-4.274883657464449,1,15,30
-6.469441747478793,2,15,30
-7.2453282901740055,3,15,30
-7.9000424368527815,4,15,30
-7.9209183227719935,5,15,30
-3.004145723916968,1,16,30
-5.697603536873545,2,16,30
-6.177189145805103,3,16,30
-7.01736923944764,4,16,30
-8.472579038162479,5,16,30
-2.9245667256109784,1,17,30
-5.4828946680756525,2,17,30
-6.927016199584926,3,17,30
-8.194613220150396,4,17,30
-8.389254540823183,5,17,30
-3.8675835140482797,1,18,30
-5.789803376076425,2,18,30
-6.9223885478027105,3,18,30
-7.610079744464524,4,18,30
-7.715217442372539,5,18,30
-2.4928310556334323,1,19,30
-5.634936405593753,2,19,30
-6.742546275591747,3,19,30
-6.979368799903917,4,19,30
-8.220068682871732,5,19,30
-2.5825319305229373,1,20,30
-4.1925396859282635,2,20,30
-5.319394696906595,3,20,30
-6.428835619137008,4,20,30
-7.314427925828821,5,20,30
-3.050858925401659,1,21,30
-4.152241850426542,2,21,30
-6.415094189902693,3,21,30
-7.080241366001939,4,21,30
-7.459933463655567,5,21,30
-2.4211352679572955,1,22,30
-2.5903889836145724,2,22,30
-4.221192149912294,3,22,30
-5.026942070097015,4,22,30
-5.439245572404771,5,22,30
-3.0046076546216316,1,23,30
-4.163363598693104,2,23,30
-5.159728680601094,3,23,30
-6.384271456761795,4,23,30
-7.421919898287273,5,23,30
-2.4544559817212415,1,24,30
-3.546194788144882,2,24,30
-4.64573566482854,3,24,30
-4.934464947752399,4,24,30
-5.552908877569228,5,24,30
-2.9305079709675956,1,25,30
-4.494949344512573,2,25,30
-5.400817349214235,3,25,30
-6.397394545236739,4,25,30
-6.30369363257973,5,25,30
-2.9244592468196764,1,26,30
-4.973100389153348,2,26,30
-6.759059858044923,3,26,30
-7.163065493642572,4,26,30
-7.463176047137638,5,26,30
-4.941485241895583,1,27,30
-6.376895163816817,2,27,30
-7.414489373612437,3,27,30
-7.508894113314447,4,27,30
-8.417129859286558,5,27,30
-3.480362833261539,1,28,30
-5.220737625296203,2,28,30
-6.007717254435366,3,28,30
-7.241260288167099,4,28,30
-8.673129504275664,5,28,30
-3.7264597015411947,1,29,30
-4.391081127177282,2,29,30
-5.529547754664452,3,29,30
-6.424802202646325,4,29,30
-7.500407987016425,5,29,30
-5.378648067773975,1,30,30
-5.943410099457306,2,30,30
-6.359531688202264,3,30,30
-7.131770344261995,4,30,30
-8.08017506533891,5,30,30
-2.330376750678742,1,31,30
-4.780757777358708,2,31,30
-7.12858627798285,3,31,30
-7.57055796922794,4,31,30
-7.946156697905933,5,31,30
-3.7877342501051063,1,32,30
-5.65912215116954,2,32,30
-6.139412232891378,3,32,30
-6.630111335932572,4,32,30
-7.6298010005818755,5,32,30
-3.1319856128580787,1,33,30
-5.611679514419259,2,33,30
-6.027479458764022,3,33,30
-6.038120184446363,4,33,30
-6.828333542655528,5,33,30
-2.9324339160233386,1,34,30
-4.444020044252082,2,34,30
-6.199657759834346,3,34,30
-6.510240660424738,4,34,30
-7.790896408976574,5,34,30
-3.94016923695591,1,35,30
-5.005832485963838,2,35,30
-6.744493503927719,3,35,30
-7.275083155987622,4,35,30
-8.210388775542032,5,35,30
-2.9184416868751017,1,36,30
-4.9665365195941105,2,36,30
-5.483009606382915,3,36,30
-6.546008968387917,4,36,30
-7.148252320948761,5,36,30
-2.817414693791555,1,37,30
-4.300800077790033,2,37,30
-6.161471350140379,3,37,30
-7.649275377719598,4,37,30
-7.722294647733802,5,37,30
-2.725531738302289,1,38,30
-4.256672692875626,2,38,30
