z,stage,nsim,params
-1.3210293330078626,1,1,15
-1.7741990141607398,2,1,15
-2.2498814815364363,1,2,15
-2.852475693202001,2,2,15
-2.4164571886873083,1,3,15
-2.7745674763049015,2,3,15
-1.7252848556550504,1,4,15
-2.0361415336577093,2,4,15
-2.570060937785132,1,5,15
-3.173814313412707,2,5,15
-3.6134729140359516,1,6,15
-3.6092281123585326,2,6,15
-2.24757718675095,1,7,15
-3.342288196518876,2,7,15
-2.555583287825858,1,8,15
-3.2565390725726835,2,8,15
0.8734156816522596,1,9,15
-1.1939454776294376,2,9,15
-2.5800816491683283,1,10,15
-4.4421209174410405,2,10,15
-1.1346815786873075,1,11,15
-2.813857557959953,2,11,15
-3.133338170878703,1,12,15
-2.234446059704603,2,12,15
-3.015240315851067,1,13,15
-4.019838373519773,2,13,15
-3.294854671263308,1,14,15
-4.329098140842635,2,14,15
-2.3615909004704783,1,15,15
-2.5269612242584643,2,15,15
-2.030748702686886,1,16,15
-2.322665529538088,2,16,15
-3.5093577605173443,1,17,15
-4.145123718121167,2,17,15
-0.960424038431239,1,18,15
-1.978331860970653,2,18,15
-2.8626079763306054,1,19,15
-4.254820014305738,2,19,15
-1.7587398683483957,1,20,15
-2.763890199160957,2,20,15
-1.3023677563779168,1,21,15
-3.4791314867444005,2,21,15
-1.7973012269230888,1,22,15
-2.9292074880196197,2,22,15
-2.6788699158803,1,23,15
-3.7916801485260403,2,23,15
-1.8854961652615432,1,24,15
-2.114837825175783,2,24,15
-1.5470016884806965,1,25,15
-1.2942444020971473,2,25,15
-2.1529020307272724,1,26,15
-3.402496196570408,2,26,15
-3.204326998753865,1,27,15
-3.8562571097044227,2,27,15
-2.0837431196224574,1,28,15
-2.6068317490000874,2,28,15
-2.7322053040464698,1,29,15
-3.6542926981172013,2,29,15
-3.3151793544729244,1,30,15
-4.812429858295187,2,30,15
-2.3530346491875966,1,31,15
-3.48426752804626,2,31,15
-0.8737130089940486,1,32,15
-0.8572262717930709,2,32,15
-3.357124432003495,1,33,15
-3.086487367331556,2,33,15
-2.189696951732462,1,34,15
-2.730173833411435,2,34,15
-1.5657760491684165,1,35,15
-3.341102046620267,2,35,15
-2.942812502393497,1,36,15
-3.2436842986491365,2,36,15
-3.193811269661212,1,37,15
-4.314086348034713,2,37,15
-2.2411185968024823,1,38,15
-2.334815842254548,2,38,15
-2.179715465544011,1,39,15
-3.4898967008653936,2,39,15
-3.245551772809611,1,40,15
-4.6076426072901615,2,40,15
-1.7391496568126201,1,41,15
-1.4363468887462456,2,41,15
-1.6560539856950012,1,42,15
-2.509392119528855,2,42,15
-2.1882981020366397,1,43,15
-2.9826781925877968,2,43,15
-1.705765712704914,1,44,15
-2.5830062142199144,2,44,15
-1.7865179663593698,1,45,15
-3.0690958148782888,2,45,15
-2.0413921851126036,1,46,15
-3.120942435088796,2,46,15
-2.958522353207474,1,47,15
-3.7279157324982592,2,47,15
-0.8673246085691755,1,48,15
-2.232374406703976,2,48,15
-2.9031729550461605,1,49,15
-3.216642894224292,2,49,15
-2.768787598806616,1,50,15
-4.532979739595313,2,50,15
-3.0639764709930555,1,51,15
-3.736219031082535,2,51,15
-3.6333837962204636,1,52,15
-3.2870817878850587,2,52,15
-2.122071284528934,1,53,15
-2.456725061188465,2,53,15
-1.2236343715595832,1,54,15
-1.533846406572666,2,54,15
-0.6095442042548112,1,55,15
-2.3969857698759207,2,55,15
-3.2541990305198754,1,56,15
-3.027977512230505,2,56,15
-1.9492606471385558,1,57,15
-2.703707928107696,2,57,15
-1.6328579265123977,1,58,15
-2.1245038350646888,2,58,15
-0.41339463272764954,1,59,15
-0.07383747889366596,2,59,15
-2.9123531574903962,1,60,15
