z,stage,nsim,params
-10.754883922556582,1,1,24
-14.93680092126177,2,1,24
-10.722855891160224,1,2,24
-14.656591631980099,2,2,24
-10.48227268676835,1,3,24
-14.792485493260633,2,3,24
-11.688614136466677,1,4,24
-16.012276042718437,2,4,24
-9.806419519368346,1,5,24
-13.556728995375327,2,5,24
-8.675476775750012,1,6,24
-13.479322308413575,2,6,24
-9.625458780339034,1,7,24
-14.91490216251689,2,7,24
-10.292501425795319,1,8,24
-14.580208254151728,2,8,24
-10.305831167405962,1,9,24
-15.130650530662804,2,9,24
-11.220179663726212,1,10,24
-15.253696387039692,2,10,24
-10.746805544869138,1,11,24
-14.954628839509942,2,11,24
-12.018557120076542,1,12,24
-15.58318507926151,2,12,24
-11.630981061446912,1,13,24
-14.82670098278193,2,13,24
-10.999138494178212,1,14,24
-14.616433483012806,2,14,24
-10.54211476815142,1,15,24
-16.103131976721304,2,15,24
-11.948886270476162,1,16,24
-15.00116870447364,2,16,24
-10.32463976957275,1,17,24
-14.165948181223357,2,17,24
-10.393682895043476,1,18,24
-16.166619130221687,2,18,24
-12.012928603043692,1,19,24
-15.428984624872125,2,19,24
-9.117500193561714,1,20,24
-14.26160880607139,2,20,24
-9.62773240992235,1,21,24
-14.684891726662133,2,21,24
-10.617667324776637,1,22,24
-14.680716227219882,2,22,24
-11.811987204297518,1,23,24
-16.491429667828683,2,23,24
-10.80769542574705,1,24,24
-16.346594974879306,2,24,24
-10.521500369828118,1,25,24
-14.412184380121225,2,25,24
-10.05231330483462,1,26,24
-14.610171470747524,2,26,24
-11.878070565107121,1,27,24
-16.156238192762476,2,27,24
-10.55698372276597,1,28,24
-14.98311555498677,2,28,24
-12.714694299104615,1,29,24
-15.755279168239486,2,29,24
-10.52804113331873,1,30,24
-15.119731000718573,2,30,24
-10.560381150303348,1,31,24
-13.937006873152642,2,31,24
-11.1333758638164,1,32,24
-14.676966526511016,2,32,24
-10.642940057409442,1,33,24
-13.743648697152516,2,33,24
-10.267273166703607,1,34,24
-14.69452644326077,2,34,24
-10.732637635371233,1,35,24
-15.227507645712855,2,35,24
-11.363932762581063,1,36,24
-16.065248834188626,2,36,24
-11.219640818555519,1,37,24
-14.584177220771355,2,37,24
-11.678776736581298,1,38,24
-16.639333085075734,2,38,24
-11.534434397894387,1,39,24
-15.425815447580208,2,39,24
-9.787845294773867,1,40,24
-14.591425149697864,2,40,24
-11.478636470434042,1,41,24
-15.78815098517496,2,41,24
-10.204015449794511,1,42,24
-14.32581955930201,2,42,24
-10.03626610432185,1,43,24
-14.222021659563588,2,43,24
-10.088015892710338,1,44,24
-14.580465040866779,2,44,24
-9.174327372025031,1,45,24
-15.372138729135857,2,45,24
-11.863719178222278,1,46,24
-15.951616772634491,2,46,24
-10.287901147213379,1,47,24
-15.070617661703523,2,47,24
-9.979525147888246,1,48,24
-13.69196207710816,2,48,24
-11.256709314206159,1,49,24
-15.407983485434531,2,49,24
-11.099611227387783,1,50,24
-15.609308345281317,2,50,24
-10.825761723514017,1,51,24
-15.189378171368956,2,51,24
-10.726907304841871,1,52,24
-14.930751165788312,2,52,24
-9.699688832213262,1,53,24
-12.484085289247378,2,53,24
-11.879323636523853,1,54,24
-15.995717575187818,2,54,24
-10.14058417615793,1,55,24
-14.41250884729447,2,55,24
-10.479201467391285,1,56,24
-14.817443143884127,2,56,24
-10.649648085275127,1,57,24
-16.5022019736565,2,57,24
-11.7639005216773,1,58,24
-16.644560384338554,2,58,24
-12.378527305064374,1,59,24
-15.358669592010612,2,59,24
-10.72895797834946,1,60,24
-16.25325153122541,2,60,24
-9.236440970741118,1,61,24
-13.441585676729629,2,61,24
