z,stage,nsim,params
-0.7730342698916305,1,1,34
-1.27915717538436,2,1,34
-1.7489529719055399,3,1,34
-2.034359008436912,4,1,34
-2.5066311865942295,5,1,34
-1.5038114573177686,1,2,34
-2.4462353074609537,2,2,34
-2.5758036889900366,3,2,34
-3.4843715742858703,4,2,34
-4.32622410750672,5,2,34
-1.928641530684614,1,3,34
-2.8646408260163727,2,3,34
-3.416822766017263,3,3,34
-3.853688843236435,4,3,34
-4.5596132393230695,5,3,34
-2.5417272210830517,1,4,34
-3.47945231642648,2,4,34
-4.123374695106792,3,4,34
-4.521736605515311,4,4,34
-4.731392949294198,5,4,34
-3.1746285366327585,1,5,34
-3.6917355320491425,2,5,34
-4.806661366642748,3,5,34
-4.8678799940934345,4,5,34
-5.595466854035095,5,5,34
-2.7610152802153007,1,6,34
-3.738571346852072,2,6,34
-4.144476382821844,3,6,34
-4.677040037027152,4,6,34
-5.074074998403452,5,6,34
-1.8721226880364754,1,7,34
-3.1462650938535788,2,7,34
-4.048562825889031,3,7,34
-4.407506554579684,4,7,34
-4.7590947660324,5,7,34
-1.7580045597926157,1,8,34
-1.3548807279813315,2,8,34
-2.3929502852786557,3,8,34
-3.844547520585539,4,8,34
-4.198064086888025,5,8,34
-1.8047542269920538,1,9,34
-3.2840221546680732,2,9,34
-4.427112192147468,3,9,34
-4.877940287688832,4,9,34
-5.831674416927912,5,9,34
0.43576056564584287,1,10,34
-2.1954587412711937,2,10,34
-2.695563306207008,3,10,34
-2.7142497048084513,4,10,34
-3.3739982193384495,5,10,34
-2.577745109578317,1,11,34
-3.0858147736756347,2,11,34
-3.5049151422382443,3,11,34
-3.2755397124824426,4,11,34
-4.059406437049114,5,11,34
-0.401431534786242,1,12,34
-2.1193688974919196,2,12,34
-2.837042963361106,3,12,34
-3.6940552753939717,4,12,34
-4.714535026889665,5,12,34
-1.430342722837881,1,13,34
-2.7552358541192383,2,13,34
-3.1465768732285353,3,13,34
-4.453840909528998,4,13,34
-5.494257661569055,5,13,34
-3.418846062227795,1,14,34
-3.8288310591554944,2,14,34
-4.42112493216835,3,14,34
-5.253712426411875,4,14,34
-5.9536356967202195,5,14,34
-4.042336109590387,1,15,34
-4.481053090561208,2,15,34
-5.429758417329168,3,15,34
-5.565200332418422,4,15,34
-5.76161458617669,5,15,34
-2.877940509054151,1,16,34
-3.7947145330140657,2,16,34
-4.652065210260207,3,16,34
-4.739881580113771,4,16,34
-5.223283652418886,5,16,34
-0.8180148600837445,1,17,34
-2.609937988550024,2,17,34
-3.3983695837325096,3,17,34
-3.800451434994053,4,17,34
-4.089457755407639,5,17,34
-1.5410491772510397,1,18,34
-2.044622628110754,2,18,34
-3.1377020141834295,3,18,34
-3.1353070118231368,4,18,34
-3.4888144664636003,5,18,34
-1.8762065117085434,1,19,34
-2.517698053776454,2,19,34
-2.699900301763358,3,19,34
-3.3376824966412153,4,19,34
-4.242870756017144,5,19,34
-1.464197892603088,1,20,34
-2.4560175309988703,2,20,34
-3.3828784041144258,3,20,34
-3.7568726236476637,4,20,34
-4.677164765237449,5,20,34
-2.159640603520871,1,21,34
-3.0683994160760797,2,21,34
-3.898703674812282,3,21,34
-4.553481351499494,4,21,34
-4.760391514541576,5,21,34
-2.1510836792469927,1,22,34
-4.228039656734384,2,22,34
-4.055063527593547,3,22,34
-4.3721443374843405,4,22,34
-4.804975526738965,5,22,34
-2.90493635664171,1,23,34
-4.322793137083745,2,23,34
-3.884911798004431,3,23,34
-4.713120450025877,4,23,34
-5.289201146469194,5,23,34
-0.7924310317782234,1,24,34
-2.354332989428102,2,24,34
-3.8140487415480946,3,24,34
-3.8622955224340667,4,24,34
-4.453933941421531,5,24,34
-2.1833592457849313,1,25,34
-3.5548778518703035,2,25,34
-5.192488765863083,3,25,34
-6.550188201452397,4,25,34
-7.1810701923069,5,25,34
-3.069826525864134,1,26,34
-2.8167881933815657,2,26,34
-2.6076155637335625,3,26,34
-3.3210875614046045,4,26,34
-3.8428514294978644,5,26,34
-1.5547579407387038,1,27,34
-3.166736671054384,2,27,34
-4.115266047543031,3,27,34
-4.348372322174116,4,27,34
-4.846061048382847,5,27,34
-2.968583517435556,1,28,34
-2.1219719465368145,2,28,34
-2.5728950276772715,3,28,34
-3.062346621099949,4,28,34
-3.6938261256984393,5,28,34
-1.201881823984191,1,29,34
-1.1097700972885918,2,29,34
-1.6972167895082027,3,29,34
-2.5234970170340705,4,29,34
-2.828287328625625,5,29,34
0.85113511064256,1,30,34
-1.243396396505946,2,30,34
-2.4581964841599557,3,30,34
-3.2190955746252325,4,30,34
-3.7317691884274553,5,30,34
-3.088169735718311,1,31,34
-4.419804861653254,2,31,34
-5.310975076238465,3,31,34
-4.9427230420634265,4,31,34
-5.103339925211468,5,31,34
-3.3771437411715093,1,32,34
-3.708971353602623,2,32,34
-4.457776316798661,3,32,34
-5.413324702585707,4,32,34
-5.3881345419176,5,32,34
-1.522910888927914,1,33,34
-2.296427057373962,2,33,34
-3.3874904988334653,3,33,34
-4.006734001390543,4,33,34
-4.554674544855077,5,33,34
-0.7057700544413069,1,34,34
-3.0879690120976515,2,34,34
-4.626804602827696,3,34,34
-4.242276976942354,4,34,34
-4.968346295065909,5,34,34
-1.736085972503232,1,35,34
-1.6740029437812132,2,35,34
-1.5996968002617455,3,35,34
-2.584836928366117,4,35,34
-3.0750410558156953,5,35,34
-2.276665759867213,1,36,34
-2.129929608802287,2,36,34
-3.1956094780890227,3,36,34
-3.5505841326650303,4,36,34
-3.825396777145521,5,36,34
