z,stage,nsim,params
-1.4971970833311805,1,1,17
-3.4955035808862163,2,1,17
-2.8701580909771165,1,2,17
-3.4257707442761287,2,2,17
-1.919525222252921,1,3,17
-3.7439188112393214,2,3,17
-4.047850667209838,1,4,17
-4.734192298699973,2,4,17
-3.2378277998060487,1,5,17
-4.968553936093964,2,5,17
-3.908674732866889,1,6,17
-5.617435138251673,2,6,17
-3.139689704440513,1,7,17
-4.36908558388449,2,7,17
-2.1756586274562872,1,8,17
-3.0441016941112764,2,8,17
-3.770938918000002,1,9,17
-4.637681375677065,2,9,17
-2.6757116393491684,1,10,17
-3.8877712310486436,2,10,17
-2.7866837866815732,1,11,17
-3.5414430722310066,2,11,17
-2.727016510464747,1,12,17
-3.942168749163337,2,12,17
-3.9180720868248557,1,13,17
-5.2223124603590225,2,13,17
-2.1631784534777747,1,14,17
-3.2831652421205075,2,14,17
-2.153230511004401,1,15,17
-3.3161623231514286,2,15,17
-2.873264754717508,1,16,17
-4.465468571079216,2,16,17
-1.5633747503346986,1,17,17
-2.7772184760647973,2,17,17
-3.142161057704333,1,18,17
-3.0234434446857397,2,18,17
-1.940120028873219,1,19,17
-3.546054200663747,2,19,17
-3.206574816009888,1,20,17
-3.9424944083171556,2,20,17
-3.3298521064104487,1,21,17
-3.9651098766826918,2,21,17
-2.0613757298484345,1,22,17
-3.044398301666124,2,22,17
-3.8254276833666876,1,23,17
-5.438352327179397,2,23,17
-2.885403090380109,1,24,17
-3.908373984298968,2,24,17
-2.6353750258397612,1,25,17
-3.9944906351420086,2,25,17
-3.3933953260718135,1,26,17
-4.470532519026794,2,26,17
-1.79807907992711,1,27,17
-3.2968680938880133,2,27,17
-4.222325794428653,1,28,17
-4.703832204171735,2,28,17
-2.5376760932830345,1,29,17
-3.1336270751077415,2,29,17
-2.573061373759789,1,30,17
-4.766932976657698,2,30,17
-3.5093388757582513,1,31,17
-4.571027238253431,2,31,17
-3.623336252627327,1,32,17
-4.991840187763834,2,32,17
-2.288731483688703,1,33,17
-4.099351959775913,2,33,17
-2.013410057679805,1,34,17
-3.9491724003077597,2,34,17
-2.5392534644985427,1,35,17
-3.2763413896261313,2,35,17
-2.742583555411541,1,36,17
-3.421484983542565,2,36,17
-2.847554287368628,1,37,17
