z,stage,nsim,params
-3.460896009177657,1,1,5
-3.9329619316349977,2,1,5
-2.3624306364156675,1,2,5
-2.2877628613058816,2,2,5
-2.704616277901745,1,3,5
-4.229181167498298,2,3,5
-1.5291024629425511,1,4,5
-1.8912448792098229,2,4,5
-1.8096723636231262,1,5,5
-2.505481902120304,2,5,5
-2.6118563003199533,1,6,5
-2.9388696588484318,2,6,5
-1.2261403933820039,1,7,5
-2.2717968232470347,2,7,5
-0.27089950623497594,1,8,5
-2.3328345514467848,2,8,5
-1.6163718296056655,1,9,5
-2.5137245985480927,2,9,5
-3.5053704314714578,1,10,5
-4.70871806580403,2,10,5
-2.247341328656928,1,11,5
-2.5357301257483464,2,11,5
-2.025949246177438,1,12,5
-2.628153105049811,2,12,5
-1.7418394337832122,1,13,5
-2.449666617551204,2,13,5
-1.9377211878529539,1,14,5
-2.5376365394941405,2,14,5
-2.0895286134975555,1,15,5
-3.2560035805821137,2,15,5
-2.516779177819898,1,16,5
-2.7009952882887154,2,16,5
-1.9163700139104578,1,17,5
-2.6900467898397706,2,17,5
-3.16554077638245,1,18,5
-3.835603134187211,2,18,5
-1.8860882284698592,1,19,5
-3.2901026938962037,2,19,5
-1.7701126357962307,1,20,5
-3.022491377149077,2,20,5
-1.102844341581145,1,21,5
-1.8098345532255078,2,21,5
-1.3828205180438045,1,22,5
-2.7193978149737728,2,22,5
-1.4037812721160188,1,23,5
-4.136917202018727,2,23,5
-1.7279513984319115,1,24,5
-2.1722282559452335,2,24,5
-1.487984558186282,1,25,5
-2.607251538228026,2,25,5
-2.2268699974218817,1,26,5
-4.130688714510839,2,26,5
-1.5197358541455148,1,27,5
-2.8776217556393378,2,27,5
-1.1191964052853471,1,28,5
-2.904304850537518,2,28,5
-1.5600823803697415,1,29,5
-3.2815927737649178,2,29,5
-0.7348407621827595,1,30,5
-1.3801187874911909,2,30,5
-1.4467400362073366,1,31,5
-2.5948958534319186,2,31,5
-0.7709773794133794,1,32,5
-1.5608204298170922,2,32,5
-2.2249615343367677,1,33,5
-3.5403438313638813,2,33,5
-2.7193119562289034,1,34,5
-2.316414292844892,2,34,5
-3.488528095909238,1,35,5
-4.239804602691336,2,35,5
-3.2051002388627072,1,36,5
-3.15800366571127,2,36,5
-1.7534356334737664,1,37,5
-2.6681986606126764,2,37,5
-2.665777922830544,1,38,5
-2.861685156435461,2,38,5
-2.6261243161508636,1,39,5
-2.7910301773559434,2,39,5
-2.6996695889619025,1,40,5
-3.395752501680059,2,40,5
-2.7367541747666153,1,41,5
-3.7023816510575496,2,41,5
-3.016553840533477,1,42,5
-4.7200752930441165,2,42,5
-1.4194327033259484,1,43,5
-1.9812551894288926,2,43,5
-2.728991732393263,1,44,5
-2.794163446563792,2,44,5
-1.4446479789297053,1,45,5
-3.1716029411000486,2,45,5
-1.6587740558015314,1,46,5
-2.3565629472365415,2,46,5
-2.711656253969256,1,47,5
-3.6979493062683657,2,47,5
-2.1799177539349905,1,48,5
-2.7313073487783317,2,48,5
-2.8693859452430064,1,49,5
-4.099765175135982,2,49,5
-1.5143163271604332,1,50,5
-3.359037487542716,2,50,5
-1.2515797210461002,1,51,5
-2.829898959518235,2,51,5
-3.628072072607251,1,52,5
-2.8003171187428655,2,52,5
-1.5319650940779184,1,53,5
-2.914767430483173,2,53,5
-0.8517948744729321,1,54,5
-1.7058809492211773,2,54,5
-3.5102119088814057,1,55,5
-3.5754586007210487,2,55,5
-3.86288592668374,1,56,5
-4.539187746225686,2,56,5
-1.6757278812690894,1,57,5
-2.532602325742919,2,57,5
-2.6100075468316435,1,58,5
-3.393836922419415,2,58,5
-1.127700737305896,1,59,5
-3.167194653915731,2,59,5
-1.1623433421772373,1,60,5
-1.3487376207733577,2,60,5
-1.7041949557850118,1,61,5
-2.8263652766883465,2,61,5
-2.421669232967559,1,62,5
-3.044121192540196,2,62,5
-0.8241710378055975,1,63,5
-2.6221799930037166,2,63,5
-1.8583850902058154,1,64,5
-2.5646935098452484,2,64,5
-2.1670026537374705,1,65,5
-2.434805402699305,2,65,5
-2.668248326235803,1,66,5
-2.6255369526735,2,66,5
-2.462929372586115,1,67,5
-3.1094986089953958,2,67,5
-2.5577399336408946,1,68,5
-3.319812406397595,2,68,5
-2.2212084575172604,1,69,5
-2.7347024009673597,2,69,5
-2.7118890532653026,1,70,5
-3.071279287262671,2,70,5
-2.77074540622009,1,71,5
-3.889272021292765,2,71,5
-3.0044084357813863,1,72,5
-3.701270593572575,2,72,5
-0.42029267631480544,1,73,5
-0.8045138598590412,2,73,5
-1.7485772200806684,1,74,5
-2.585064244563454,2,74,5
-2.521881688319181,1,75,5
-4.323639372180426,2,75,5
-1.7778397997118918,1,76,5
-2.1673223776779897,2,76,5
-2.416404651460721,1,77,5
-2.47716737603369,2,77,5
-1.8242472080186969,1,78,5
-2.7492178100736515,2,78,5
-2.700302856730649,1,79,5
-3.022308247178635,2,79,5
-2.622941015728247,1,80,5
-3.4532605601763815,2,80,5
-2.3102844409582204,1,81,5
-2.8706427824949885,2,81,5
-1.9754265720296866,1,82,5
-2.1139300750861016,2,82,5
-0.5760748125658384,1,83,5
-2.2331932373246706,2,83,5
-2.3924745663632647,1,84,5
-2.7383235868980393,2,84,5
-1.6163391039663215,1,85,5
-2.416027702707651,2,85,5
-2.7508311681245967,1,86,5
-2.7411133028905534,2,86,5
-1.9987577383353767,1,87,5
-3.505032395398789,2,87,5
-1.2407262600630002,1,88,5
-3.348492132396404,2,88,5
-2.394513243161675,1,89,5
-3.0375439692454322,2,89,5
-2.915743135958989,1,90,5
-3.0299268545891436,2,90,5
-2.272303267673046,1,91,5
-2.7991755432045626,2,91,5
-2.472666967215521,1,92,5
-4.226422537511008,2,92,5
-2.248281465712533,1,93,5
-2.7824391180571584,2,93,5
-1.2430794384492185,1,94,5
-2.239509078181752,2,94,5
-2.596472291062803,1,95,5
-4.042824248247247,2,95,5
-0.8310981757932552,1,96,5
-1.9930483874355256,2,96,5
-1.8749834714748173,1,97,5
-2.063805830300613,2,97,5
-3.079768923866593,1,98,5
-3.60209897433566,2,98,5
-1.9095613279896413,1,99,5
-2.5544779897014336,2,99,5
-2.0236765292625245,1,100,5
-3.3388047824589324,2,100,5
-2.1190879548550567,1,101,5
-3.011198622366923,2,101,5
-3.2684762623971824,1,102,5
-3.690722581948778,2,102,5
-2.9902086307112508,1,103,5
-2.651685905584088,2,103,5
-0.690408055128968,1,104,5
-1.8355536828068724,2,104,5
-1.2256104810783182,1,105,5
-2.8302682227724407,2,105,5
-1.8308004773858393,1,106,5
-3.464770821549063,2,106,5
-1.9728321560894686,1,107,5
-1.8751505710534913,2,107,5
