z,stage,nsim,params
-2.5488082598484203,1,1,45
-3.3407216574178724,2,1,45
-4.100921511705623,3,1,45
-4.435040882566959,4,1,45
-5.5236239658388735,5,1,45
-1.593021828749112,1,2,45
-1.2820189497142174,2,2,45
-1.981416959215007,3,2,45
-2.4832826437215156,4,2,45
-3.247088408387121,5,2,45
-2.5425152366715196,1,3,45
-3.1686229031886133,2,3,45
-3.5927786564660877,3,3,45
-4.027490982707413,4,3,45
-4.508703701613948,5,3,45
-0.7802586787141493,1,4,45
-1.6627373420772897,2,4,45
-3.1291480117901003,3,4,45
-3.365024465076413,4,4,45
-4.098550827690516,5,4,45
-2.8138334619240473,1,5,45
-3.0356187861825785,2,5,45
-2.7986670557436835,3,5,45
-3.634198944201582,4,5,45
-3.1114683356447275,5,5,45
-1.2307924595217363,1,6,45
-1.8153524461255215,2,6,45
-2.580555234023343,3,6,45
-2.633541824970482,4,6,45
-3.4038426435076636,5,6,45
-2.8372806865007063,1,7,45
-2.873188330236251,2,7,45
-2.773746255860091,3,7,45
-2.996580096717875,4,7,45
-3.590212765112891,5,7,45
-0.5900971416723644,1,8,45
-0.7293056183305195,2,8,45
-1.7783004413249606,3,8,45
-2.4868471900653435,4,8,45
-3.822337994927096,5,8,45
-1.5293964281618588,1,9,45
-2.2847543470403444,2,9,45
-2.1871301788683453,3,9,45
-3.0579132128736126,4,9,45
-4.2906313855059866,5,9,45
-2.943139181787149,1,10,45
-2.408682214866455,2,10,45
-2.6375225395472777,3,10,45
-3.3229929033155314,4,10,45
-3.344725419326938,5,10,45
0.3812585799044625,1,11,45
-1.410904579637382,2,11,45
-2.1672071155564003,3,11,45
-3.0781716589244996,4,11,45
-3.597837960528407,5,11,45
-0.7912529550439904,1,12,45
-1.7363181874053006,2,12,45
-1.6689512574049334,3,12,45
-2.28670429749083,4,12,45
-2.58647489784171,5,12,45
-1.7528826413642553,1,13,45
-3.512316348860717,2,13,45
-3.4745090546765014,3,13,45
-3.5630944938793583,4,13,45
-3.150735719811535,5,13,45
-1.2761583670459578,1,14,45
-1.6989242551416337,2,14,45
-2.4823015599102836,3,14,45
-2.81105180386203,4,14,45
-3.068753608944328,5,14,45
-0.03269576304278848,1,15,45
-1.1896848755470537,2,15,45
-1.4927149652158438,3,15,45
-1.9499804893240067,4,15,45
-2.3710616556729938,5,15,45
-2.9146269386463186,1,16,45
-3.1553873476911476,2,16,45
-3.4605799798973327,3,16,45
-3.1504275909234707,4,16,45
-3.7940354909018152,5,16,45
-2.307335791100226,1,17,45
-3.1405013973739058,2,17,45
-3.6336309501229667,3,17,45
-3.7922692880727986,4,17,45
-3.1151205727991607,5,17,45
-2.688562867901941,1,18,45
-3.0307056336201823,2,18,45
-3.0410230384177255,3,18,45
-3.4322756359509423,4,18,45
-4.527018236545265,5,18,45
-1.4614648855520294,1,19,45
-2.0832929404869245,2,19,45
-2.2578155512962224,3,19,45
-3.479202214700346,4,19,45
-3.283753122191577,5,19,45
-1.6464598134806623,1,20,45
-3.025651372038357,2,20,45
-2.530683486472836,3,20,45
-3.11485560927859,4,20,45
-3.240198586784042,5,20,45
-0.8034473680556015,1,21,45
-1.4091386125651664,2,21,45
-1.74087635302926,3,21,45
-1.9929155505708889,4,21,45
-2.3114895063398113,5,21,45
-2.2307451423051208,1,22,45
-1.990990284884173,2,22,45
-3.623879152823156,3,22,45
-4.402222928590442,4,22,45
-5.096750692547669,5,22,45
-2.5856566031109454,1,23,45
-3.210695849556738,2,23,45
-3.3433330874172342,3,23,45
-3.5345471721006243,4,23,45
-2.5954128775055985,5,23,45
-0.6060952593056753,1,24,45
-0.9232482013303297,2,24,45
-1.5268384988828303,3,24,45
-2.5253265493651775,4,24,45
-2.5212654677721997,5,24,45
-2.9416648857045384,1,25,45
-2.6962206451121333,2,25,45
-2.964821972332422,3,25,45
-2.697546587467555,4,25,45
-3.5998533572091462,5,25,45
-0.2651556100714073,1,26,45
-1.635644753609867,2,26,45
-2.266870359168723,3,26,45
-2.93595950404929,4,26,45
-3.630891693889274,5,26,45
-1.739696140290742,1,27,45
-1.9922701436519574,2,27,45
-2.3864418328579657,3,27,45
-2.56402725124588,4,27,45
-2.2814490242189724,5,27,45
-1.6698129481097324,1,28,45
-4.07982964268617,2,28,45
-3.6553245389359175,3,28,45
-3.8563390406932867,4,28,45
-4.476884618849616,5,28,45
-2.2573685411640794,1,29,45
-4.090984557677279,2,29,45
-4.687602709560974,3,29,45
-4.8225909116091685,4,29,45
-5.678312860722201,5,29,45
-1.1198576988808822,1,30,45
-1.1817415463693637,2,30,45
-2.3161666131975744,3,30,45
-2.6753000059840226,4,30,45
-3.4229743530571644,5,30,45
-2.951965306259794,1,31,45
-3.1565814365058853,2,31,45
-2.6982672740097065,3,31,45
-3.1442853940527526,4,31,45
-3.6089287169744315,5,31,45
-1.4239384818872123,1,32,45
-2.6183729723166747,2,32,45
-2.7952773771671575,3,32,45
-3.1010842697994994,4,32,45
-3.330969330770008,5,32,45
-2.2674350707988875,1,33,45
-3.0733015924589586,2,33,45
-4.33529822543897,3,33,45
-4.405192769516559,4,33,45
-4.849518241040275,5,33,45
-1.1558272607462412,1,34,45
-2.18742701070434,2,34,45
-2.674935417053761,3,34,45
-3.1487379734654786,4,34,45
-3.0932555147964296,5,34,45
-2.104895168483243,1,35,45
-4.079177340132963,2,35,45
-4.370759282600952,3,35,45
-4.9727762719924495,4,35,45
-4.968726564880329,5,35,45
-1.2201849736928276,1,36,45
-1.0578569989214033,2,36,45
-2.598507519850412,3,36,45
-2.8432390344313583,4,36,45
-3.223662357629098,5,36,45
-1.771240196878129,1,37,45
-1.8895631562243893,2,37,45
-2.142367045737065,3,37,45
-2.5614804983414925,4,37,45
