z,stage,nsim,params
-3.769984051725053,1,1,22
-6.028514477604785,2,1,22
-3.5399148433289427,1,2,22
-6.176752245737588,2,2,22
-5.491412696607272,1,3,22
-7.768647381824417,2,3,22
-2.9677013252824485,1,4,22
-5.472606211981501,2,4,22
-4.37153452380314,1,5,22
-8.007069359317455,2,5,22
-5.4342982469395515,1,6,22
-5.981440495913115,2,6,22
-5.574121864616181,1,7,22
-6.835549247872067,2,7,22
-4.885257316993598,1,8,22
-6.9162822150323775,2,8,22
-3.7639633211787387,1,9,22
-5.765469869903616,2,9,22
-2.9909934130560676,1,10,22
-6.202649787399012,2,10,22
-4.5172240381076465,1,11,22
-6.478717143472777,2,11,22
-1.948727556547181,1,12,22
-3.3513999688195053,2,12,22
-3.2696613183547156,1,13,22
-5.465159581073593,2,13,22
-4.6659548972983345,1,14,22
-8.025077443272947,2,14,22
-4.355476547905844,1,15,22
-6.001722468509753,2,15,22
-6.043343977802312,1,16,22
-8.094386344075312,2,16,22
-6.374570273384168,1,17,22
-7.697482626197214,2,17,22
-4.694712746115977,1,18,22
-6.531139169131206,2,18,22
-2.614672862546361,1,19,22
-4.989701034512552,2,19,22
-4.326810664477418,1,20,22
-5.886504049694469,2,20,22
-4.845868608846388,1,21,22
-6.847322478402411,2,21,22
-3.2926377268183358,1,22,22
-5.1080882026361545,2,22,22
-2.092780258469552,1,23,22
-3.8792522643886107,2,23,22
-4.362252681230603,1,24,22
-4.822947786854345,2,24,22
-3.260496253833796,1,25,22
-5.05460553734478,2,25,22
-2.870343153000146,1,26,22
-4.274769458835476,2,26,22
-4.301106859160626,1,27,22
-7.372175113533972,2,27,22
-2.7897457019296286,1,28,22
-4.453215188932947,2,28,22
-5.065932782662612,1,29,22
-6.730379609313748,2,29,22
-6.037980922524682,1,30,22
-7.609253316376402,2,30,22
-3.476090552378852,1,31,22
-5.77424095652071,2,31,22
-4.214503040707733,1,32,22
-6.0908501148190215,2,32,22
-4.864429546311774,1,33,22
-7.106583857152568,2,33,22
-5.466789327328979,1,34,22
-7.371192140846161,2,34,22
-4.310918494999539,1,35,22
-8.198972753173095,2,35,22
-2.662710671819207,1,36,22
-4.45029848860148,2,36,22
-3.65316314612748,1,37,22
-5.248366573520485,2,37,22
-2.844178501461095,1,38,22
-5.228306241403657,2,38,22
-4.325044882795962,1,39,22
-5.391075545085732,2,39,22
-5.929158736161336,1,40,22
-6.713589159365237,2,40,22
-3.6836092268246565,1,41,22
-4.990541983204696,2,41,22
-3.7555689736283306,1,42,22
-5.969791009377136,2,42,22
-4.843032419025665,1,43,22
-6.591496771290846,2,43,22
-4.756411238757687,1,44,22
-6.977107259195194,2,44,22
-4.487317714729313,1,45,22
-5.407416303143885,2,45,22
-4.821278951100876,1,46,22
-6.604771269410171,2,46,22
-5.568080837669786,1,47,22
-6.71564159837991,2,47,22
-2.062385251541262,1,48,22
-5.073526789635724,2,48,22
-4.512763093274477,1,49,22
-5.563422099852899,2,49,22
-4.8533141146338,1,50,22
-6.6052243692139445,2,50,22
-4.984241044952794,1,51,22
-4.795913655408575,2,51,22
-5.324191167605366,1,52,22
-6.811039458858925,2,52,22
-4.595035099204446,1,53,22
-6.342804704535476,2,53,22
-3.8480644704589313,1,54,22
-6.4576519813972055,2,54,22
-2.767230706017849,1,55,22
-6.030088671582524,2,55,22
-3.543596192417894,1,56,22
-4.745651930851542,2,56,22
-3.6394736920054878,1,57,22
-5.597294424355205,2,57,22
-4.201591157250885,1,58,22
-5.8834642810739695,2,58,22
-3.4058288659178886,1,59,22
-5.747186920250087,2,59,22
-5.210931092615823,1,60,22
-7.753224701003653,2,60,22
-4.9723806986460035,1,61,22
-6.506684561397747,2,61,22
-3.178323153508514,1,62,22
-4.808097551337779,2,62,22
-4.231412371610362,1,63,22
-6.4600913182832524,2,63,22
-4.375082426663418,1,64,22
-6.21227269925152,2,64,22
-4.238396627816204,1,65,22
-6.2562159833724555,2,65,22
-4.860192396397606,1,66,22
-7.261169656329466,2,66,22
-3.515343347330593,1,67,22
-5.211136206900832,2,67,22
-3.4339961162224224,1,68,22
-5.001613382163062,2,68,22
-3.8951871061668077,1,69,22
-5.337278918243619,2,69,22
-2.934056505433566,1,70,22
-4.885270453320261,2,70,22
-3.881786476128518,1,71,22
-5.932323263838795,2,71,22
-4.754219563193461,1,72,22
-6.332587263881302,2,72,22
-5.240577881058832,1,73,22
-7.159000082534169,2,73,22
-3.2061287269542555,1,74,22
-4.025303759272548,2,74,22
-3.5982975190166444,1,75,22
-5.5407775280955445,2,75,22
-3.667210336948965,1,76,22
-5.295627278302819,2,76,22
-4.430693145934639,1,77,22
-6.18228213823052,2,77,22
-2.8124702849662846,1,78,22
-4.5609318592959625,2,78,22
-5.35309638265712,1,79,22
-6.641746992603451,2,79,22
-4.320910733958901,1,80,22
