z,stage,nsim,params
-5.931988576075069,1,1,48
-7.574768310528658,2,1,48
-9.331031765155165,3,1,48
-11.02503450945341,4,1,48
-11.504147310043537,5,1,48
-3.731924249608416,1,2,48
-6.394700020939234,2,2,48
-8.392066625848617,3,2,48
-9.987396545491004,4,2,48
-11.283534230466467,5,2,48
-6.5204650876402805,1,3,48
-7.383983628621271,2,3,48
-9.257130082412994,3,3,48
-10.714755261122786,4,3,48
-12.647776538076,5,3,48
-4.861005047442126,1,4,48
-7.1319139940815965,2,4,48
-9.212345211473465,3,4,48
-9.91025871271966,4,4,48
-10.590023235035567,5,4,48
-5.001802175321318,1,5,48
-7.912105816059038,2,5,48
-9.439195304020524,3,5,48
-10.723910937766945,4,5,48
-12.746918308141622,5,5,48
-5.316968779511952,1,6,48
-7.49715508533602,2,6,48
-8.913743207141657,3,6,48
-10.386255290038903,4,6,48
-11.029589863375756,5,6,48
-5.583168824640412,1,7,48
-7.486816857999026,2,7,48
-8.959519945046981,3,7,48
-10.771340606692464,4,7,48
-11.257188173128373,5,7,48
-4.560470134114556,1,8,48
-7.032896456406282,2,8,48
-8.72198792304001,3,8,48
-10.063620487926984,4,8,48
-11.23164327034068,5,8,48
-4.891025914371583,1,9,48
-6.3177684629890125,2,9,48
-6.986938057376756,3,9,48
-8.503365126973797,4,9,48
-10.321020535249955,5,9,48
-5.4071131836151,1,10,48
-6.443374457616008,2,10,48
-8.314151010120924,3,10,48
-9.78187910438425,4,10,48
-10.385538943498528,5,10,48
-5.329337803990971,1,11,48
-7.115154905157404,2,11,48
-9.24041207182892,3,11,48
-10.714667610925655,4,11,48
-11.86488405163824,5,11,48
-4.1650181534775355,1,12,48
-7.13112629162348,2,12,48
-7.578176637256014,3,12,48
-7.9868289089006375,4,12,48
-8.000222589028038,5,12,48
-4.856062964481949,1,13,48
-6.141171223538312,2,13,48
-7.949250831689516,3,13,48
-9.945108873756952,4,13,48
-10.713538222900613,5,13,48
-6.456743113621187,1,14,48
-8.199522502434414,2,14,48
-10.255211150510751,3,14,48
-12.15344982351479,4,14,48
-12.944907391554896,5,14,48
-4.825443048146844,1,15,48
-6.8850854836338575,2,15,48
-9.3499178735271,3,15,48
-10.08957128674716,4,15,48
-11.413510134880468,5,15,48
-5.526528763689712,1,16,48
-7.965667464886616,2,16,48
-9.492139996874549,3,16,48
-11.569306774520395,4,16,48
-12.543441665163911,5,16,48
-5.732973011498238,1,17,48
-6.973780108476413,2,17,48
-8.556022745926096,3,17,48
-11.029666692694368,4,17,48
-12.3253139956151,5,17,48
-5.459492169887594,1,18,48
-6.4192212925244165,2,18,48
-8.720673105203018,3,18,48
-9.791916825397305,4,18,48
-11.14876072551877,5,18,48
-5.197162119922947,1,19,48
-6.489018894089335,2,19,48
-7.832846944478432,3,19,48
-9.611130564025503,4,19,48
-10.484599903246133,5,19,48
-5.615552041883922,1,20,48
-7.648582591729825,2,20,48
-9.346046380159068,3,20,48
-11.204028731111945,4,20,48
-12.021391581222026,5,20,48
-4.677306070328091,1,21,48
-7.2848268240688245,2,21,48
-8.605114928267577,3,21,48
-10.564364282439751,4,21,48
-11.266211964123054,5,21,48
-5.030989700642309,1,22,48
-7.405879369507288,2,22,48
-8.848816180469402,3,22,48
-9.35119763880763,4,22,48
-10.636636076376274,5,22,48
-4.341413199840328,1,23,48
-6.435490928412854,2,23,48
-6.77924449405881,3,23,48
-8.320862593677493,4,23,48
-8.823998592977267,5,23,48
-4.176789767462006,1,24,48
-5.628989965234724,2,24,48
-7.203688234458039,3,24,48
-8.680982704064675,4,24,48
-9.841127845621761,5,24,48
-4.992340490653523,1,25,48
-6.4855195456396695,2,25,48
-8.52615918284376,3,25,48
-10.130998476287683,4,25,48
-10.246748904217128,5,25,48
-5.218807146020919,1,26,48
-6.642010496260053,2,26,48
