z,stage,nsim,params
-2.0043246008667728,1,1,16
-3.74479096405391,2,1,16
-2.021771476850352,1,2,16
-4.242162652046642,2,2,16
-2.082579728086664,1,3,16
-4.259380781057194,2,3,16
-1.901683355139841,1,4,16
-3.063544525520648,2,4,16
-1.4734842189422113,1,5,16
-3.2339712821800646,2,5,16
-2.848086160233608,1,6,16
-4.366683404266611,2,6,16
-3.3301199055532527,1,7,16
-4.257655801901952,2,7,16
-2.1814270496808885,1,8,16
-1.7626009033627366,2,8,16
-1.6837224675425801,1,9,16
-3.1230285649282217,2,9,16
-2.8577130778379516,1,10,16
-3.5614566466099347,2,10,16
-3.6120963413268137,1,11,16
-4.234085717600201,2,11,16
-1.4990248211659944,1,12,16
-1.3031244555628285,2,12,16
-2.706718139755612,1,13,16
-4.152031572464854,2,13,16
-2.3442510445932303,1,14,16
-3.409595552215431,2,14,16
-1.833000452795145,1,15,16
-1.9702255707564018,2,15,16
-3.6282147819568484,1,16,16
-4.716757461762737,2,16,16
-2.982791901852664,1,17,16
-4.321652734901135,2,17,16
-4.009298997924614,1,18,16
-3.8025953268549313,2,18,16
-1.1351777204574574,1,19,16
-2.429212118284692,2,19,16
-1.4176061518268892,1,20,16
-2.09376737786204,2,20,16
-1.5748625865525525,1,21,16
-2.133327940792404,2,21,16
-1.5408709193704295,1,22,16
-2.148619393991685,2,22,16
-1.3896151224326418,1,23,16
-2.016444969449477,2,23,16
-1.446406549205026,1,24,16
-2.0394835157234468,2,24,16
-3.333156082575199,1,25,16
-4.750921568877862,2,25,16
-2.5138714710252192,1,26,16
-3.875547450382214,2,26,16
-1.468204349643168,1,27,16
-3.9367895129234003,2,27,16
-1.136318106949604,1,28,16
-2.7633683934414806,2,28,16
-1.0496259341577276,1,29,16
-1.5567593256436916,2,29,16
-3.518160328379094,1,30,16
-5.547725107724306,2,30,16
-1.0773685077030186,1,31,16
-2.151279501478992,2,31,16
-1.962691191269519,1,32,16
-2.569487335840024,2,32,16
-3.2186961837245236,1,33,16
-4.5488270886128435,2,33,16
-3.267754182673672,1,34,16
-3.9724002779710053,2,34,16
-2.261613864164599,1,35,16
-3.672712847942353,2,35,16
-1.9445946100076987,1,36,16
-3.0675611944890484,2,36,16
-1.7980458940253488,1,37,16
-2.457939854497452,2,37,16
-2.3704180441209743,1,38,16
-3.7660428063638767,2,38,16
-0.9096045209554586,1,39,16
-2.1241800695827124,2,39,16
-3.5127324150077834,1,40,16
-3.3949700100894247,2,40,16
-1.5172717605281771,1,41,16
-2.20057999366612,2,41,16
-1.4851771896686414,1,42,16
-2.400409456616447,2,42,16
-4.0578013573516225,1,43,16
-5.201226705809937,2,43,16
-3.305514308817016,1,44,16
-4.694822229903063,2,44,16
-3.329995286524996,1,45,16
-3.826642612913595,2,45,16
-3.807487982220827,1,46,16
-3.9624079375438055,2,46,16
-1.7498189735202,1,47,16
-2.25034641303958,2,47,16
-2.209981112484996,1,48,16
-4.071534215389552,2,48,16
-3.405397634290058,1,49,16
-3.407229383112444,2,49,16
-4.362312392171193,1,50,16
-4.165422609911367,2,50,16
-2.55349006627145,1,51,16
-2.704688731495003,2,51,16
-2.8939495200624634,1,52,16
-5.153577119346152,2,52,16
-2.288022279122434,1,53,16
-2.984657355547335,2,53,16
-2.3326142975045996,1,54,16
-2.6566767356166765,2,54,16
-1.1955103651695709,1,55,16
-2.3287999217635926,2,55,16
-1.512748633895872,1,56,16
-2.3301381216172112,2,56,16
-2.046070109663585,1,57,16
-2.2021447132234986,2,57,16
-2.325639199486742,1,58,16
-3.0892461924134023,2,58,16
-0.849320388690333,1,59,16
-1.1703825694134062,2,59,16
-3.267285235800024,1,60,16
-4.187266934354047,2,60,16
-4.271671275845599,1,61,16
-4.595049996256506,2,61,16
-3.1844413399840406,1,62,16
-3.494236878352375,2,62,16
-2.817362357534343,1,63,16
-4.08723401204133,2,63,16
-1.6545392340013823,1,64,16
-2.6642050086013924,2,64,16
-1.8131139686247921,1,65,16
-3.4507174216483714,2,65,16
-2.7338171764733676,1,66,16
-3.582484866997363,2,66,16
-2.388015705481264,1,67,16
-3.4578284352411397,2,67,16
-2.094282893452768,1,68,16
-2.7083176933292714,2,68,16
-0.6505606590401944,1,69,16
-2.17994729455537,2,69,16
-2.4735713183123105,1,70,16
-2.4832431583429617,2,70,16
-2.9182023561903114,1,71,16
-4.624358009088265,2,71,16
-1.1137900806488552,1,72,16
-3.8263289741949724,2,72,16
-1.7803729218978823,1,73,16
-2.392161576099149,2,73,16
-1.605625539905033,1,74,16
-2.2788433794054628,2,74,16
-1.6523196908237758,1,75,16
-2.8058686941777418,2,75,16
-2.6092123706053076,1,76,16
-3.3096072969360493,2,76,16
-2.184285650555745,1,77,16
-3.7333326229597295,2,77,16
-0.7403607048275364,1,78,16
-2.4701986001409533,2,78,16
-4.593539618259944,1,79,16
-4.154076885463065,2,79,16
-2.155305009678783,1,80,16
-4.676115130939623,2,80,16
-3.0518810228153685,1,81,16
-4.323092398001113,2,81,16
-1.6131622227481184,1,82,16
-3.1543103175377194,2,82,16
-3.1541816196463177,1,83,16
-2.9820436943580693,2,83,16
-1.1377750032793401,1,84,16
-1.896847572123625,2,84,16
-3.451867326146079,1,85,16
-3.041818483170247,2,85,16
-0.5187408866339662,1,86,16
-2.7379307712922896,2,86,16
-1.585936154100945,1,87,16
-2.6722150153538364,2,87,16
-2.3093451197849637,1,88,16
-3.582486452119908,2,88,16
-1.5779274111134776,1,89,16
-2.764034699472289,2,89,16
-1.6119350972388382,1,90,16
-2.914959943287992,2,90,16
-1.2856188458221232,1,91,16
-3.0411380756408573,2,91,16
-2.1433082430940953,1,92,16
-3.4212523961953134,2,92,16
-1.52428671998714,1,93,16
-3.4602651677715226,2,93,16
-3.7475669166591072,1,94,16
-3.725445591518301,2,94,16
-1.6882679086185899,1,95,16
-2.888750975096569,2,95,16
-1.742375049811998,1,96,16
-3.210790026518528,2,96,16
-3.8544605865069506,1,97,16
-4.583380180741984,2,97,16
-2.1321953485988208,1,98,16
-3.507903025268002,2,98,16
-3.31508654814355,1,99,16
-2.9953779411588894,2,99,16
-3.0436403284190425,1,100,16
-3.839592420385274,2,100,16
-3.297575342387013,1,101,16
-3.3625979226571787,2,101,16
-1.6752886087850938,1,102,16
-1.8266229503107638,2,102,16
-0.06967436440070975,1,103,16
-1.4878598428943528,2,103,16
-3.3269340421651226,1,104,16
-4.395306340126653,2,104,16
-2.7186478089461,1,105,16
-3.593849288888319,2,105,16
-1.4010618533120367,1,106,16
-3.1899504121101874,2,106,16
-2.6214739495946535,1,107,16
-3.654839185207817,2,107,16
-2.209123549747641,1,108,16
-2.6228398055696136,2,108,16
-2.020565278165567,1,109,16
-2.336102728915735,2,109,16
-3.7525817915104334,1,110,16
-5.560489956960456,2,110,16
-0.907952196676412,1,111,16
-2.152039147945384,2,111,16
-3.4640564255529114,1,112,16
-4.209751906466491,2,112,16
-2.5496751460297977,1,113,16
-5.132691954529675,2,113,16
-0.16197606792156893,1,114,16
-1.2179386835543666,2,114,16
-2.8900642941672228,1,115,16
-3.4576367525505303,2,115,16
-1.158739689539566,1,116,16
-1.19048918921652,2,116,16
-1.5301377521599675,1,117,16
-2.3351348464427137,2,117,16
-2.3750563313629316,1,118,16
-4.22392820504729,2,118,16
-1.4848886462929918,1,119,16
-2.579386232358076,2,119,16
-2.373742963215078,1,120,16
-3.921780666570785,2,120,16
-0.9224089940738848,1,121,16
-0.9595846821549654,2,121,16
-1.6454231676569362,1,122,16
-3.3867627613685425,2,122,16
-0.29316387596430593,1,123,16
-1.2116042793492963,2,123,16
-2.6644498222085984,1,124,16
-3.0447951540164997,2,124,16
-1.8603988497809991,1,125,16
-3.334029597193648,2,125,16
-1.4863994893405827,1,126,16
-2.9285256045240162,2,126,16
-1.0534578186861607,1,127,16
-1.5304311666577886,2,127,16
-3.8764407490138777,1,128,16
-5.015121898553526,2,128,16
-2.6830044413624003,1,129,16
-3.955561111033155,2,129,16
-3.343829897633898,1,130,16
-4.20193283763659,2,130,16
-1.2898791961570213,1,131,16
-1.462553518150876,2,131,16
-2.9656790181170147,1,132,16
-3.4626666615424218,2,132,16
-1.5374501115640091,1,133,16
-3.2428546342064086,2,133,16
-2.6550166651079095,1,134,16
-2.8946432641975046,2,134,16
-2.468344804719803,1,135,16
-3.4281425709251288,2,135,16
-3.6934589183111295,1,136,16
-3.176852879585035,2,136,16
-1.141595594245567,1,137,16
-2.5080819047610836,2,137,16
-1.3373531262844018,1,138,16
-1.980097888351094,2,138,16
-3.076109212415286,1,139,16
-4.698588927403135,2,139,16
-2.776692050213014,1,140,16
-3.6590775652992362,2,140,16
-1.641578669332094,1,141,16
-2.711712698014243,2,141,16
-1.9201729811524375,1,142,16
-1.965177232586267,2,142,16
-1.982627339293304,1,143,16
-3.519156504685382,2,143,16
-1.315797043638926,1,144,16
-3.4125054088930855,2,144,16
0.03172867872831048,1,145,16
-0.26438187756771236,2,145,16
-2.1955138866982944,1,146,16
-2.582089796249253,2,146,16
-1.9490168120343612,1,147,16
-3.418588415874086,2,147,16
-2.6642647357709075,1,148,16
-4.368061247279537,2,148,16
-2.6336510315590074,1,149,16
-3.1319410928152642,2,149,16
-3.2354714596073175,1,150,16
-4.172417391103341,2,150,16
-2.3666600021730484,1,151,16
-2.980259676343996,2,151,16
-1.1460641924471564,1,152,16
-1.814833432295018,2,152,16
-3.4413844604114816,1,153,16
-3.2225511457928433,2,153,16
-3.9233381592739582,1,154,16
-5.774001085183241,2,154,16
-2.34330426055528,1,155,16
-3.6154371078072436,2,155,16
-2.1831114994036946,1,156,16
-2.5323208430067408,2,156,16
-2.4895493294656403,1,157,16
-4.089690312157745,2,157,16
-0.7612219225542263,1,158,16
-2.1838008404145484,2,158,16
-1.5272849354122535,1,159,16
-3.8894841623925647,2,159,16
-4.011100848601131,1,160,16
-3.531521201116423,2,160,16
-1.493999600291304,1,161,16
-3.516755019875646,2,161,16
-3.1370656403097366,1,162,16
-4.129987295953114,2,162,16
-1.0896790609778144,1,163,16
-2.286440363683979,2,163,16
-2.5565262269869713,1,164,16
-3.2712596463928634,2,164,16
