z,stage,nsim,params
-3.85117656446716,1,1,18
-6.330585398278264,2,1,18
-3.341219979669918,1,2,18
-6.396675590321998,2,2,18
-3.8780793027051748,1,3,18
-6.476906527102783,2,3,18
-3.2297236715074455,1,4,18
-5.214516888887627,2,4,18
-3.6245861578604583,1,5,18
-5.9190238017781525,2,5,18
-4.545285016378438,1,6,18
-6.543615983611547,2,6,18
-4.954841586587129,1,7,18
-6.324866100496612,2,7,18
-3.6827156922448747,1,8,18
-3.991114388192987,2,8,18
-3.5664405398417305,1,9,18
-5.082210699039141,2,9,18
-4.5038311515983205,1,10,18
-5.558174891450796,2,10,18
-4.842009404789973,1,11,18
-6.291993980774311,2,11,18
-3.6589023024993304,1,12,18
-3.809928820992049,2,12,18
-4.279970487085984,1,13,18
-6.331913155635227,2,13,18
-4.2726945203612505,1,14,18
-6.076393871443846,2,14,18
-4.1996442676309975,1,15,18
-5.112407131079974,2,15,18
-5.054691131930074,1,16,18
-7.044156031208715,2,16,18
-4.225198845510613,1,17,18
-6.439664831490091,2,17,18
-5.242604827223169,1,18,18
-6.281659025694177,2,18,18
-3.1361976978294086,1,19,18
-5.191088586327816,2,19,18
-3.452856497886222,1,20,18
-4.8194018120605975,2,20,18
-3.502682902859606,1,21,18
-4.790545941736673,2,21,18
-3.2910013307037573,1,22,18
-5.279569238577892,2,22,18
-3.3593339556771573,1,23,18
-4.592318338700343,2,23,18
-3.0509720359585786,1,24,18
-4.162891723002065,2,24,18
-4.658893877070273,1,25,18
-7.155223509982448,2,25,18
-4.433240586513453,1,26,18
-6.419128047191928,2,26,18
-3.146696262706735,1,27,18
-6.1720679715800495,2,27,18
-3.0458101222629157,1,28,18
-5.456522942205143,2,28,18
-3.358609147117715,1,29,18
-4.292385372278356,2,29,18
-4.7097078977051465,1,30,18
-7.327324971436694,2,30,18
-2.4986052294265857,1,31,18
-4.5133122459203205,2,31,18
-3.6631860337389814,1,32,18
-4.5872907584022,2,32,18
-4.920553295670268,1,33,18
-6.7906366961446984,2,33,18
-5.379035484975065,1,34,18
-6.747727906761223,2,34,18
-3.8445736581909418,1,35,18
-6.058351024023601,2,35,18
-3.211264051592265,1,36,18
-5.120652797840451,2,36,18
-3.2520433447060415,1,37,18
-4.432359276738703,2,37,18
-3.967680575345239,1,38,18
-5.600035726665998,2,38,18
-2.8335696151440963,1,39,18
-4.790142797801876,2,39,18
-5.090443794450016,1,40,18
-5.93935057295607,2,40,18
-3.3170344435175876,1,41,18
-4.575407917323494,2,41,18
-3.2908301480953055,1,42,18
-4.923613797997229,2,42,18
-5.420199498052797,1,43,18
-6.940215805764139,2,43,18
-4.319577551023006,1,44,18
-6.462163288574095,2,44,18
-4.688816885853959,1,45,18
-6.487375097398045,2,45,18
-5.002861856078203,1,46,18
-5.8361679302961456,2,46,18
-3.301009264217944,1,47,18
-5.17894002756006,2,47,18
-4.2245324107054465,1,48,18
-6.509682261490758,2,48,18
-4.784561214575135,1,49,18
-5.5194907717871695,2,49,18
-5.883574071950465,1,50,18
-6.816768196619082,2,50,18
-3.836280565938343,1,51,18
-5.079709959975887,2,51,18
-4.503411078544925,1,52,18
-7.2861474326107425,2,52,18
-3.4716406208598896,1,53,18
-5.134065881477972,2,53,18
-4.416699584121056,1,54,18
-5.2182110223427385,2,54,18
-2.4007788016026708,1,55,18
-3.9286975217510505,2,55,18
-3.1324054318111227,1,56,18
-4.416188223721732,2,56,18
-3.6692922952509375,1,57,18
-4.3786251084595245,2,57,18
-4.935655507601307,1,58,18
-5.804972743484641,2,58,18
-3.5658289773403538,1,59,18
-4.349759247911194,2,59,18
-4.603091867608675,1,60,18
-6.00750200174536,2,60,18
-5.343856737123878,1,61,18
-6.175407866194149,2,61,18
-4.787460581819396,1,62,18
-6.432652370431368,2,62,18
-4.360818904596295,1,63,18
-6.388252852962367,2,63,18
-3.251720895851469,1,64,18
-4.904034461923814,2,64,18
-3.856070469278867,1,65,18
-6.39545665664538,2,65,18
-3.761313855346091,1,66,18
-5.295485277046584,2,66,18
-3.2655714252645103,1,67,18
-5.035184425031692,2,67,18
-3.6793376598994225,1,68,18
-4.912876821963967,2,68,18
-2.6429572186850234,1,69,18
-4.33121206034543,2,69,18
-4.790643617555973,1,70,18
-4.805541868673314,2,70,18
-4.230279494667658,1,71,18
-6.740379671727313,2,71,18
-2.9444276055205294,1,72,18
-5.94676735578839,2,72,18
-2.6643999011284953,1,73,18
-3.9251022430921974,2,73,18
-3.430565600577033,1,74,18
-4.681276876116688,2,74,18
-2.8227845577503565,1,75,18
-4.248142059241805,2,75,18
-4.456868776408379,1,76,18
-6.291186443664331,2,76,18
-3.1814214341877283,1,77,18
-5.27386794230411,2,77,18
-2.335683471823965,1,78,18
-4.264064164913337,2,78,18
-5.33401548238428,1,79,18
-5.771818397435572,2,79,18
-4.50444179072925,1,80,18
-7.199299392613179,2,80,18
-4.405285644969051,1,81,18
-5.963536466705579,2,81,18
-3.3459179898986524,1,82,18
-5.068760213650189,2,82,18
-5.216003395621565,1,83,18
-5.994182784775336,2,83,18
-2.5970631933842263,1,84,18
-3.818975237937163,2,84,18
-5.352101845874344,1,85,18
-5.685764261111501,2,85,18
-2.305427116894628,1,86,18
-5.269466457095733,2,86,18
-3.460112829088552,1,87,18
-5.49848835060714,2,87,18
-3.8990811077501846,1,88,18
-5.7210606239961175,2,88,18
-3.6349053317912103,1,89,18
-5.389424803698102,2,89,18
-3.4988854944203416,1,90,18
-5.469930258972513,2,90,18
-2.682134232852392,1,91,18
-5.3573014173871965,2,91,18
-3.582065112879829,1,92,18
-5.345884169126511,2,92,18
-3.6567894724634806,1,93,18
-5.9205177333790004,2,93,18
-4.8415436197103245,1,94,18
-6.662092305807927,2,94,18
-2.936193101810182,1,95,18
-4.815334470970591,2,95,18
-3.8795432737653277,1,96,18
-5.357204751872735,2,96,18
-5.313762921481261,1,97,18
-7.079328306977132,2,97,18
-3.916066331553424,1,98,18
-6.1418412680790535,2,98,18
-4.483892290341344,1,99,18
-5.7139350276109395,2,99,18
-4.7003814258880565,1,100,18
-6.527036544703052,2,100,18
-4.527851105326367,1,101,18
-6.226011479603487,2,101,18
-3.0929975473050724,1,102,18
-4.058376013147888,2,102,18
-1.478264585708062,1,103,18
-3.4191189415063286,2,103,18
-4.753935601568756,1,104,18
-6.854079394536988,2,104,18
-4.26387302648669,1,105,18
-5.225759231843017,2,105,18
-3.251786946817434,1,106,18
-6.144415381455385,2,106,18
-4.332681255134244,1,107,18
-5.759783394387438,2,107,18
-3.8679828335966273,1,108,18
-5.232185467363051,2,108,18
-3.0544393044915092,1,109,18
-4.266334363745916,2,109,18
-4.516447091271661,1,110,18
-6.954680732189565,2,110,18
-2.5102349077014523,1,111,18
-4.701286481352915,2,111,18
-5.1238145413353875,1,112,18
-6.694827402328641,2,112,18
-4.367428320547592,1,113,18
-7.280650229178599,2,113,18
-1.9697556398383917,1,114,18
-3.5635924673131596,2,114,18
-4.806318375071121,1,115,18
-6.164740051450822,2,115,18
-2.9021690117114005,1,116,18
-4.462658033025606,2,116,18
-3.260945860133229,1,117,18
-4.906548993659593,2,117,18
-3.498092459587144,1,118,18
-6.015214850296165,2,118,18
-3.401134437760542,1,119,18
-5.238728208852734,2,119,18
-4.485391276523284,1,120,18
-6.280923504274488,2,120,18
-2.239847988620549,1,121,18
-3.114164927626515,2,121,18
-3.1740605971814806,1,122,18
-6.070885985656418,2,122,18
-2.9786473065294294,1,123,18
-4.122449061098172,2,123,18
-3.8691266721069506,1,124,18
-5.057668179456944,2,124,18
-3.555323928232931,1,125,18
-5.937181142581287,2,125,18
-3.738258380099087,1,126,18
-5.660316755298821,2,126,18
-2.4995183071660523,1,127,18
-3.6445644826704724,2,127,18
-5.195378109049211,1,128,18
-6.5551118044237215,2,128,18
-4.515296027624846,1,129,18
-6.115982358968907,2,129,18
-4.7889331546743685,1,130,18
-6.228122078778841,2,130,18
-2.727586741746664,1,131,18
-3.739884033250179,2,131,18
-4.802200727851841,1,132,18
-6.254571195988247,2,132,18
-3.3348102426956685,1,133,18
-5.562940134167605,2,133,18
-3.9918812651326308,1,134,18
-5.585140992474775,2,134,18
-3.7007098839277166,1,135,18
-5.581805302431232,2,135,18
-4.659506480935408,1,136,18
-4.885039872077626,2,136,18
-3.2971874243980483,1,137,18
-5.255189349087686,2,137,18
-3.6331570000978095,1,138,18
-4.844360268828848,2,138,18
-4.934246064613079,1,139,18
-6.975536513589059,2,139,18
-4.495423016067086,1,140,18
-5.9191393954076865,2,140,18
-2.6962226309983355,1,141,18
-4.22789960245614,2,141,18
-3.895893074672188,1,142,18
-4.724200147874652,2,142,18
-4.391004276485265,1,143,18
-6.125358617136164,2,143,18
-3.410335337169753,1,144,18
-5.660274611138637,2,144,18
-2.0999560669037574,1,145,18
-2.9079315385170585,2,145,18
-4.607110644420599,1,146,18
-5.927701617165855,2,146,18
-3.83899615863036,1,147,18
-5.743501369513184,2,147,18
-4.860746463102594,1,148,18
-7.441619167971254,2,148,18
-4.535855217212756,1,149,18
-6.065909716380315,2,149,18
-4.254681192700415,1,150,18
-6.102308037045976,2,150,18
-3.783025292831891,1,151,18
-4.8094965909520875,2,151,18
-2.7957662677245607,1,152,18
-4.034580547258485,2,152,18
-4.565168311786647,1,153,18
-6.1802586525484795,2,153,18
-4.852207135047439,1,154,18
-7.663419849745006,2,154,18
-3.8027134323132903,1,155,18
-5.532668788615497,2,155,18
-4.153935362710941,1,156,18
-5.300930491658617,2,156,18
-4.205879746045565,1,157,18
-6.481983149774445,2,157,18
-3.1257677961009147,1,158,18
-4.973658248955059,2,158,18
-3.5696803296699007,1,159,18
-6.092968162464152,2,159,18
-4.907500810756318,1,160,18
-5.950514935804444,2,160,18
-3.345061909003439,1,161,18
-6.201629648661647,2,161,18
-4.950480603080725,1,162,18
-6.249911524897892,2,162,18
-3.4593751772829076,1,163,18
-5.421134179498534,2,163,18
-4.316986683959036,1,164,18
-5.838543504788466,2,164,18
-4.2654116799366255,1,165,18
-6.18084881973783,2,165,18
-3.5635321064378074,1,166,18
-4.8068941645543655,2,166,18
-3.661136899242031,1,167,18
-5.142270655516447,2,167,18
-2.461819301033836,1,168,18
-4.48451170506211,2,168,18
-3.974171668833657,1,169,18
-4.308299168811494,2,169,18
-3.359465921254888,1,170,18
-4.906769337611311,2,170,18
-2.525162316486099,1,171,18
-5.497296822560729,2,171,18
-3.4509465583167116,1,172,18
-5.925319137699797,2,172,18
-3.783426662531926,1,173,18
-6.314650980885806,2,173,18
-4.021528187552849,1,174,18
-5.822347435100632,2,174,18
-4.677241072813735,1,175,18
-5.298880975947908,2,175,18
-4.1607031717759115,1,176,18
-5.827319255068125,2,176,18
-2.5027564762194308,1,177,18
-4.32128044271484,2,177,18
-2.7698515113488993,1,178,18
-3.8780935312752054,2,178,18
-4.309933169700873,1,179,18
-5.585993037908927,2,179,18
-3.774044983764759,1,180,18
-6.011120462499269,2,180,18
-4.58539594490544,1,181,18
-5.206975977461832,2,181,18
-3.8710534836801083,1,182,18
-4.974571827032773,2,182,18
-4.53586070425637,1,183,18
-6.216605077440764,2,183,18
-4.999609343101843,1,184,18
-7.180190286878345,2,184,18
-4.8561235136956435,1,185,18
-6.355820298736987,2,185,18
-4.141684246821177,1,186,18
-6.115727323576312,2,186,18
-2.9949701755872606,1,187,18
-5.205136619151981,2,187,18
-3.8985128019669406,1,188,18
-4.9623437514512005,2,188,18
-4.184617908237007,1,189,18
-6.013572513064231,2,189,18
-4.736074807473454,1,190,18
-4.181763991144993,2,190,18
-5.1586600172916475,1,191,18
-6.7290979776692925,2,191,18
-2.547561716190437,1,192,18
-3.825568740006064,2,192,18
-2.454881384434937,1,193,18
-3.147038455395953,2,193,18
-4.640492001840547,1,194,18
-6.14137557905698,2,194,18
-4.090590032370779,1,195,18
-5.545410496867892,2,195,18
-2.4358599955648956,1,196,18
-4.770969089187734,2,196,18
-3.2479420079994785,1,197,18
-5.444742020338016,2,197,18
-3.830878124132593,1,198,18
-6.1808107470424,2,198,18
-3.391917431489601,1,199,18
-5.011135757599147,2,199,18
-4.004754522984445,1,200,18
-6.380986186838319,2,200,18
-4.433067140984496,1,201,18
-4.810553472918623,2,201,18
-3.125166568930324,1,202,18
-5.171372110610897,2,202,18
-3.8247674642833727,1,203,18
-5.56102353262017,2,203,18
-3.6811335770363116,1,204,18
-4.061688544549073,2,204,18
-4.4266129135741945,1,205,18
-5.127176275219922,2,205,18
-3.3631763705242146,1,206,18
-4.804294368220622,2,206,18
-4.549729783566749,1,207,18
-5.138999005521772,2,207,18
-2.611132174409623,1,208,18
-4.482243657554729,2,208,18
