z,stage,nsim,params
-4.487878999126002,1,1,22
-6.414611123702698,2,1,22
-6.5686699117691445,1,2,22
-8.049641833362015,2,2,22
-5.748368080752392,1,3,22
-7.356323653697032,2,3,22
-6.058642760505872,1,4,22
-7.350937093138525,2,4,22
-6.152939610884244,1,5,22
-7.751756994923397,2,5,22
-7.207019336755008,1,6,22
-10.169916762514616,2,6,22
-3.9066275025031145,1,7,22
-5.367273196058462,2,7,22
-4.658613704068673,1,8,22
-7.074624633267775,2,8,22
-3.9433083026439943,1,9,22
-5.770298533162033,2,9,22
-4.998580327477965,1,10,22
-6.6466151711608275,2,10,22
-4.77150405015906,1,11,22
-7.505136708847958,2,11,22
-4.790839410552847,1,12,22
-6.916063907657258,2,12,22
-4.5608307983668235,1,13,22
-6.2061157723211196,2,13,22
-4.75904562802745,1,14,22
-6.111447708269073,2,14,22
-2.4698585037535397,1,15,22
-5.849689125272024,2,15,22
-3.274658893088942,1,16,22
-7.4313599172889,2,16,22
-4.660125545330384,1,17,22
-7.348842654758906,2,17,22
-4.655754286694241,1,18,22
-5.517301956996492,2,18,22
-5.170966025889939,1,19,22
-7.378029360899588,2,19,22
-5.705487261745392,1,20,22
-7.538972414225585,2,20,22
-5.312246243563844,1,21,22
-7.749722638086955,2,21,22
-5.000955224549041,1,22,22
-7.030866128156704,2,22,22
-6.196257828775446,1,23,22
-8.338905701956522,2,23,22
-5.187546271472906,1,24,22
-7.005181402985623,2,24,22
-4.410082474158914,1,25,22
-6.82535410489781,2,25,22
-7.275550542875021,1,26,22
-8.594796165873182,2,26,22
-5.21310629551093,1,27,22
-7.09946909110201,2,27,22
-5.0342190117085766,1,28,22
-7.342801298653894,2,28,22
-2.9296468290758426,1,29,22
-5.105422053576793,2,29,22
-4.420031789614558,1,30,22
-6.8308999278706555,2,30,22
-4.260652846808513,1,31,22
-8.155199752729487,2,31,22
-3.602141257837713,1,32,22
-6.10141755732053,2,32,22
-5.2767240022489545,1,33,22
-7.386413348919492,2,33,22
-4.205689643898658,1,34,22
-5.8280891559266514,2,34,22
-3.9285549022202395,1,35,22
-4.368503109596566,2,35,22
-5.2721317361357,1,36,22
-7.468642844727182,2,36,22
-4.484097351867852,1,37,22
-6.974989940594002,2,37,22
-5.97875403725673,1,38,22
-6.004448183950343,2,38,22
-4.504171497755223,1,39,22
-5.887015722119592,2,39,22
-3.9615541222094888,1,40,22
-6.491009679620286,2,40,22
-5.051463958444528,1,41,22
-5.773525341393638,2,41,22
-4.49002220243847,1,42,22
-6.9316028513211165,2,42,22
-3.5345290572808064,1,43,22
-7.118639258364522,2,43,22
-4.194774146918919,1,44,22
-6.216036778653883,2,44,22
-5.459353720605128,1,45,22
-6.7448478034573744,2,45,22
-3.4406717994121445,1,46,22
-4.965228884024529,2,46,22
-4.320001989256848,1,47,22
-6.893395241720664,2,47,22
-6.4386451111398975,1,48,22
-8.37218489075332,2,48,22
-3.3802523853051283,1,49,22
-5.742556479437851,2,49,22
-5.168094700884488,1,50,22
-5.960989818179582,2,50,22
-5.4622712603557435,1,51,22
-7.948783989297647,2,51,22
-3.7652365131529986,1,52,22
-5.121073247363619,2,52,22
-6.708027940336095,1,53,22
-9.148137325520716,2,53,22
-2.6387231659471353,1,54,22
-4.147689284139052,2,54,22
-5.940146570936403,1,55,22
-7.345460751819418,2,55,22
-6.688056076926903,1,56,22
-8.850987019970107,2,56,22
-5.688471759597223,1,57,22
-7.332333602483457,2,57,22
-5.840450727000364,1,58,22
-5.662869125096273,2,58,22
-3.571662526967635,1,59,22
-5.749721442798826,2,59,22
-3.241975024313858,1,60,22
-6.0772323726736985,2,60,22
-5.486065354310091,1,61,22
-7.73856934028008,2,61,22
-4.489449892891087,1,62,22
-7.251139903748359,2,62,22
-6.981214403995207,1,63,22
-7.26949233367528,2,63,22
-6.37892309663856,1,64,22
-8.688286257230386,2,64,22
-4.579906310099043,1,65,22
-7.4056366951338175,2,65,22
-6.447332902618635,1,66,22
-6.315931531550657,2,66,22
-5.6766522387934595,1,67,22
-7.9805284001676595,2,67,22
-6.0949347662674755,1,68,22
-8.71658194541942,2,68,22
-3.43584209608215,1,69,22
-5.717957852643964,2,69,22
-6.316198932631405,1,70,22
-8.417795692261228,2,70,22
-5.469247258780277,1,71,22
-6.828430415322616,2,71,22
-4.5500403036101,1,72,22
-6.5030556216261655,2,72,22
-5.1623523474817885,1,73,22
-7.675952532307185,2,73,22
-5.845620669830583,1,74,22
-7.023336897856518,2,74,22
-4.649668632793415,1,75,22
-7.897627607760737,2,75,22
-6.3603011200551505,1,76,22
-7.919030991721594,2,76,22
-6.532492205449722,1,77,22
-8.059955886545247,2,77,22
-3.8399324388523457,1,78,22
-5.835800310135481,2,78,22
-5.769461406494783,1,79,22
-7.059670788435487,2,79,22
-5.680178148996133,1,80,22
-6.651763501983949,2,80,22
-5.855264894438168,1,81,22
-8.05230392799497,2,81,22
-5.657900143369921,1,82,22
-8.125335953828252,2,82,22
-5.496247405697402,1,83,22
-7.5931164635114765,2,83,22
-4.790062955503888,1,84,22
-7.006294384993443,2,84,22
-4.924422018711213,1,85,22
-7.869662668141449,2,85,22
-5.5744082160822535,1,86,22
-7.3087764584028605,2,86,22
-3.9317340745286056,1,87,22
-6.797601178523873,2,87,22
-5.108311476319839,1,88,22
-5.874405779451284,2,88,22
-4.463995336914825,1,89,22
-7.198670628303328,2,89,22
-5.913088375592051,1,90,22
-8.622951908026403,2,90,22
