z,stage,nsim,params
-1.5613006142287362,1,1,17
-3.488244691497609,2,1,17
-2.9062072424115417,1,2,17
-3.4967772425638337,2,2,17
-1.933004392510642,1,3,17
-931.2944465652048,2,3,17
-4.131994412374512,1,4,17
-4.88891632672284,2,4,17
-3.318750889556654,1,5,17
-4.845051529531031,2,5,17
-4.007845024682567,1,6,17
-5.748196148551213,2,6,17
-3.2099552719790974,1,7,17
-4.471863781199194,2,7,17
-483.2845591436253,1,8,17
-3.0548965491079345,2,8,17
-1107.7163046660091,1,9,17
-4.742623559762389,2,9,17
-2.698138675783543,1,10,17
-3.9805662860803412,2,10,17
-2.858982749539028,1,11,17
-3.6142919086893297,2,11,17
-2.7713549112864357,1,12,17
-3.966202353167932,2,12,17
-4.039833117628156,1,13,17
-5.113084768897071,2,13,17
-2.2522161343778766,1,14,17
-3.379366090373362,2,14,17
-478.82446955012955,1,15,17
-915.526491250819,2,15,17
-2.929346501127811,1,16,17
-4.612556622975612,2,16,17
-1.6882647716381185,1,17,17
-2.935275433743861,2,17,17
-712.2214487104181,1,18,17
-3.1698319927793612,2,18,17
-1.8979439474513444,1,19,17
-3.673397364642149,2,19,17
-3.292018620729649,1,20,17
-4.038044878911462,2,20,17
-3.3910521632811714,1,21,17
-4.106875268335915,2,21,17
-465.1578391577436,1,22,17
-3.1430963339260978,2,22,17
-3.9479327438410574,1,23,17
-5.5510323206752235,2,23,17
-827.9502709345632,1,24,17
-1040.8450278122828,2,24,17
-2.707082244252188,1,25,17
-4.083327745752717,2,25,17
-3.479098520705644,1,26,17
-4.610883637155906,2,26,17
-1.8627616116020347,1,27,17
-3.3713045422821875,2,27,17
-4.316630493780653,1,28,17
-4.799792716891419,2,28,17
-757.5190138609026,1,29,17
-3.2217681422744557,2,29,17
-2.629299452380765,1,30,17
-4.925554392088914,2,30,17
-3.5776528236857312,1,31,17
-4.8123467143236365,2,31,17
-3.714928898458725,1,32,17
-5.165179006002154,2,32,17
-2.332401809087146,1,33,17
-929.8143567926049,2,33,17
-2.076504087382284,1,34,17
-4.077033162547716,2,34,17
-2.598917853912479,1,35,17
-3.3332844640732295,2,35,17
-2.7941000296398224,1,36,17
-3.5406934013315317,2,36,17
-2.917464202697775,1,37,17
-3.923607116639014,2,37,17
-2.8238525550816025,1,38,17
-4.903632044106023,2,38,17
-1.575919899293291,1,39,17
-2.4814189854373043,2,39,17
-2.5217487513806005,1,40,17
-3.724656375171889,2,40,17
-4.2269904815075465,1,41,17
-1242.309909954461,2,41,17
-2.475286325586996,1,42,17
-2.761973152953994,2,42,17
-689.9037273998097,1,43,17
-4.123690763069005,2,43,17
-3.422830736299572,1,44,17
-4.927383962237944,2,44,17
-3.7846063501302627,1,45,17
-4.612030211104639,2,45,17
-2.6850895754669284,1,46,17
-3.6123876322654915,2,46,17
-3.602626920376173,1,47,17
-3.879520453211966,2,47,17
-743.8577352444016,1,48,17
-3.8804879978049662,2,48,17
-3.808764169005409,1,49,17
-4.078217825966614,2,49,17
-1.6285974588229057,1,50,17
-2.6988883835447632,2,50,17
-797.5706401492915,1,51,17
-1158.2923336620938,2,51,17
-2.795846158208346,1,52,17
-4.942582834701845,2,52,17
-3.535711955286592,1,53,17
-5.088352491325559,2,53,17
-4.191021775867797,1,54,17
-4.515044059896662,2,54,17
-1.9406663205487158,1,55,17
-2.2050010296721307,2,55,17
-724.7013148495132,1,56,17
-3.909120909315987,2,56,17
-3.8674146922482833,1,57,17
-4.826919574865839,2,57,17
-4.016171823814975,1,58,17
-4.904456353905384,2,58,17
-1012.838055809101,1,59,17
-1109.3920757180074,2,59,17
-3.3950048866245717,1,60,17
-1153.4422293240364,2,60,17
-3.8259290837182185,1,61,17
-1032.9521955216298,2,61,17
-1.8223846849488292,1,62,17
-4.756082451826228,2,62,17
-2.783328543452828,1,63,17
-2.623895510037093,2,63,17
-3.0370533497438212,1,64,17
-4.804087550909457,2,64,17
-2.7186447594948797,1,65,17
-3.5348471224675575,2,65,17
-3.335119095461518,1,66,17
-5.143649359378044,2,66,17
-2.637763732412899,1,67,17
-4.496045943235012,2,67,17
-3.1391299137659,1,68,17
-5.081356654982327,2,68,17
-794.5456821454993,1,69,17
-5.098050392000883,2,69,17
-3.3976156389125025,1,70,17
-4.462298483458032,2,70,17
-3.4420782142413935,1,71,17
-4.055056795587828,2,71,17
-3.7776061475453853,1,72,17
-1539.5630514464872,2,72,17
-678.5606013256038,1,73,17
-1110.7719198514644,2,73,17
-2.9073159773334925,1,74,17
-3.909959904263394,2,74,17
-1.9271000884921945,1,75,17
-3.2534080938745342,2,75,17
-464.48308735471545,1,76,17
-3.4908735761228162,2,76,17
-4.124703977124922,1,77,17
-4.251299785248611,2,77,17
-4.332256384540109,1,78,17
-4.658824670675569,2,78,17
-2.1054006804141645,1,79,17
-2.5402065605356072,2,79,17
-2.0519063407551137,1,80,17
-777.4237123155947,2,80,17
-3.1688032878922447,1,81,17
-4.803963365457908,2,81,17
-3.6434745196921865,1,82,17
-5.4885787974570635,2,82,17
-584.2676847903084,1,83,17
-3.8496461293657744,2,83,17
-1.3396905823240948,1,84,17
-787.9766773254555,2,84,17
-3.10748456758125,1,85,17
-4.641728120153795,2,85,17
-3.0341410512891906,1,86,17
-4.31303744972743,2,86,17
-2.444073158771329,1,87,17
-3.570929395025182,2,87,17
-0.9114799603637955,1,88,17
-2.213981168936933,2,88,17
-3.324063908259221,1,89,17
-4.613264829506736,2,89,17
-4.114655786201978,1,90,17
-5.572908447415079,2,90,17
-1.690845157089536,1,91,17
-2.503973624611806,2,91,17
-2.6040201744031926,1,92,17
-855.8048132055505,2,92,17
-295.5780682781066,1,93,17
